date,value
2025-04-07,118.10494863713103
2025-04-08,120.13531318457073
2025-04-09,126.94864420628922
2025-04-10,133.8431813556068
2025-04-11,130.14495288409364
2025-04-12,129.9828635246015
2025-04-13,121.96956804816863
2025-04-14,114.536037828777
2025-04-15,119.94668518841831
2025-04-16,130.86640813022655
2025-04-17,146.37012345161205
2025-04-18,140.01777258158185
2025-04-19,135.2969190151191
2025-04-20,125.23398797504862
2025-04-21,110.8766450214668
2025-04-22,122.54362129257913
2025-04-23,131.07038181893589
2025-04-24,151.17848143106272
2025-04-25,140.10615561659392
2025-04-26,137.43998069625022
2025-04-27,127.35573562843012
2025-04-28,116.55018783294123
2025-04-29,130.3133816654772
2025-04-30,136.45197285574145
2025-05-01,144.74050752692838
2025-05-02,138.44410008960278
2025-05-03,144.86929246233962
2025-05-04,122.44311608607191
2025-05-05,127.25094041311719
2025-05-06,137.47462264502886
2025-05-07,129.66270298973112
2025-05-08,139.87693606677635
2025-05-09,145.4123711120916
2025-05-10,137.26101956015512
2025-05-11,123.62213116777953
2025-05-12,126.58254674122287
2025-05-13,123.13390287042542
2025-05-14,138.90642369163749
2025-05-15,140.03438046669805
2025-05-16,154.58686323481805
2025-05-17,137.7852082921317
2025-05-18,131.68821766515865
2025-05-19,132.23039487711802
2025-05-20,124.21417677996304
2025-05-21,139.59883813455903
2025-05-22,153.09029233235609
2025-05-23,140.72285196000112
2025-05-24,144.54772096955136
2025-05-25,136.52101614050616
2025-05-26,133.99500007223318
2025-05-27,126.10682173081928
2025-05-28,133.78233231919404
2025-05-29,151.08736331210542
2025-05-30,152.16826842205012
2025-05-31,146.80009285169635
2025-06-01,138.87692013982578
2025-06-02,128.60883902853107
2025-06-03,135.37592069409166
2025-06-04,143.7730546741858
2025-06-05,146.82897531696605
2025-06-06,161.9352945346849
2025-06-07,149.83987012760278
2025-06-08,133.1112385294045
2025-06-09,137.2148076026696
2025-06-10,131.26432078022702
2025-06-11,148.16619224948138
2025-06-12,158.1167872252117
2025-06-13,150.42608731027954
2025-06-14,154.21066309234232
2025-06-15,143.05473757317736
2025-06-16,139.96541728254982
2025-06-17,147.54477096771032
2025-06-18,144.92690557383176
2025-06-19,150.4782054314642
2025-06-20,152.0050036769873
2025-06-21,147.23780794437036
2025-06-22,142.52840131450122
2025-06-23,139.48395327973753
2025-06-24,141.3673369741675
2025-06-25,152.21283932210292
2025-06-26,156.23497263571795
2025-06-27,165.6433231339784
2025-06-28,151.91665212608464
2025-06-29,158.43783261759668
2025-06-30,142.82960706755625
2025-07-01,137.62117211851296
2025-07-02,144.64553750969424
2025-07-03,160.5054021756215
2025-07-04,159.18141574463957
2025-07-05,158.73301568581198
2025-07-06,149.12625183059345
2025-07-07,141.2602026885238
2025-07-08,139.5960682333293
2025-07-09,144.34884079964775
2025-07-10,157.78354226214748
2025-07-11,166.50380056596308
2025-07-12,158.1565588590794
2025-07-13,142.45444673724265
2025-07-14,144.41332880414103
2025-07-15,147.6797006453923
2025-07-16,149.42686666514814
2025-07-17,162.70781947528698
2025-07-18,164.43592710965262
2025-07-19,153.29431557235213
2025-07-20,152.39515435562083
2025-07-21,148.2744237298032
2025-07-22,153.09144688570163
2025-07-23,161.0382410294053
2025-07-24,156.97392402885083
2025-07-25,161.37883524092396
2025-07-26,163.50742032062567
2025-07-27,155.0982242315176
2025-07-28,149.9688164525691
2025-07-29,168.8629250461758
2025-07-30,160.5467602457736
2025-07-31,171.46317599261627
2025-08-01,172.76104618104253
2025-08-02,166.11227716418819
2025-08-03,152.87602517683166
2025-08-04,153.1115010465822
2025-08-05,147.6582184432911
2025-08-06,158.43129158168443
2025-08-07,165.28160697564454
2025-08-08,170.323484983585
2025-08-09,176.35169066410361
2025-08-10,147.03912236015128
2025-08-11,154.6710328190653
2025-08-12,145.3818420831077
2025-08-13,159.1788022095143
2025-08-14,175.07625462270386
2025-08-15,172.1585913052077
2025-08-16,161.31275086416667
2025-08-17,154.7220066998873
2025-08-18,156.56079753494308
2025-08-19,151.71666520354725
2025-08-20,164.54383140944833
2025-08-21,171.78243776046304
2025-08-22,170.5022663947782
2025-08-23,179.34427212351645
2025-08-24,163.39119728085407
2025-08-25,144.9601727800586
2025-08-26,158.22384685905686
2025-08-27,162.07568306077323
2025-08-28,177.73982215800189
2025-08-29,171.72074136372075
2025-08-30,169.9739463926322
2025-08-31,164.66961548724314
2025-09-01,161.33773860727413
2025-09-02,153.2131701730078
2025-09-03,165.63518612848742
2025-09-04,173.02600585129295
2025-09-05,174.33977581609253
2025-09-06,181.2979767244493
2025-09-07,166.09266457022272
2025-09-08,152.6276197878253
2025-09-09,165.72703886663754
2025-09-10,179.8415502158323
2025-09-11,182.48613563293063
2025-09-12,171.93264907226796
2025-09-13,171.97261208178938
2025-09-14,172.32538868442794
2025-09-15,157.31676915448352
2025-09-16,165.27990319517158
2025-09-17,175.02701642099254
2025-09-18,174.61223389536127
2025-09-19,181.15494904480596
2025-09-20,160.11052266885216
2025-09-21,162.79197165490027
2025-09-22,161.51535264868852
2025-09-23,158.74496706769315
2025-09-24,181.23897959658132
2025-09-25,174.01925628652546
2025-09-26,181.17543031470697
2025-09-27,178.89363917870512
2025-09-28,177.0433532299794
2025-09-29,157.52195957283408
2025-09-30,172.72277866136935
2025-10-01,175.05116530509804
2025-10-02,178.18549684416587
2025-10-03,187.60924704258517
2025-10-04,181.15831169321885
2025-10-05,168.75897932193172
2025-10-06,166.97335767675833
2025-10-07,166.90346883936252
2025-10-08,177.4906636493331
2025-10-09,188.32677039508764
2025-10-10,195.15189067507254
2025-10-11,175.89701264429414
2025-10-12,184.34830750408386
2025-10-13,158.78698517727253
2025-10-14,169.9941882715704
2025-10-15,181.78773987857645
2025-10-16,188.34415328423452
2025-10-17,186.03138591831964
2025-10-18,182.9685558097191
2025-10-19,173.14121288058521
2025-10-20,167.52367731324102
2025-10-21,176.92420115493022
2025-10-22,182.55430819905604
2025-10-23,185.3977228923332
2025-10-24,195.56595981766586
2025-10-25,187.46874158896512
2025-10-26,181.5936050711513
2025-10-27,175.541722230657
2025-10-28,170.4542925382915
2025-10-29,179.89140249132265
2025-10-30,194.52181581732964
2025-10-31,196.0428886907439
2025-11-01,187.75081293783845
2025-11-02,180.03900831657705
2025-11-03,180.70497942305803
2025-11-04,173.56448757179984
2025-11-05,187.350871521235
2025-11-06,191.69746145262062
2025-11-07,193.82570827051728
2025-11-08,195.2722820906723
2025-11-09,185.5025300680504
2025-11-10,180.30728004719606
2025-11-11,184.97281547482748
2025-11-12,186.6434807466253
2025-11-13,198.04126649434204
2025-11-14,195.28585742676313
2025-11-15,193.32230651625514
2025-11-16,182.64780997434892
2025-11-17,178.6477886152333
2025-11-18,183.34428348931752
2025-11-19,184.37043504537084
2025-11-20,207.01651493937132
2025-11-21,193.73018122530883
2025-11-22,187.55360861295136
2025-11-23,191.0121565367648
2025-11-24,184.04419918316123
2025-11-25,185.41217437047052
2025-11-26,193.52634293093686
2025-11-27,198.41642161978623
2025-11-28,196.197073198455
2025-11-29,195.92665139093526
2025-11-30,183.75887053478053
2025-12-01,186.88456130351227
2025-12-02,183.47936530077584
2025-12-03,188.18020632372964
2025-12-04,198.79380319883262
2025-12-05,204.67107925033926
2025-12-06,194.6520827590244
2025-12-07,184.9566540375855
2025-12-08,185.15047561696005
2025-12-09,187.3625619869073
2025-12-10,191.6960533539138
2025-12-11,199.96861780208312
2025-12-12,205.68974858882618
2025-12-13,192.15336073863423
2025-12-14,183.95351406661203
2025-12-15,182.2628953763153
2025-12-16,186.99357029588123
2025-12-17,197.70838398183565
2025-12-18,211.6236673379993
2025-12-19,210.7408739411252
2025-12-20,200.51716671938036
2025-12-21,192.81882882205798
2025-12-22,182.76554658246525
2025-12-23,189.89131729755567
2025-12-24,196.6336298823222
2025-12-25,207.7835559780191
2025-12-26,204.23949803043033
2025-12-27,205.83666886348047
2025-12-28,202.5006813496619
2025-12-29,189.157469586447
2025-12-30,193.91551851108912
2025-12-31,203.45071995855517
